;Modele;Description;Prix
34;ASUS ROG STRIX SCAR 17 G533QS-HQ012T;"Gamer, 15,6"", Ryzen 9 5900HX, RTX 3080, RAM 32 Go, SSD 1 To, Windows 10, 2,30 kg";3199€94
35;ASUS ROG Zephyrus G14 GA401IU-040T;"Gamer, 14"", Ryzen 7-4800HS, GTX 1660 Ti, RAM 16 Go, SSD 512 Go, Windows 10, 1,60 kg";1799€94
36;ACER Predator Helios 300 PH315-53-701Y;"Gamer, 15,6"", Core i7-10750H, GTX 1660 Ti, RAM 16 Go, SSD 512 Go, Windows 10, 2,3 kg";1549€94
37;ASUS ROG Zephyrus S15 GX532LXS-39T;"Gamer, 15,6"", Core i7-10875H, RTX 2080 SUPER, RAM 32 Go, SSD 1 To, Windows 10, 1,90 kg";3499€94
38;ASUS ROG STRIX SCAR 17 G732LXS-HG062T;"Gamer, 17"", Core i7-10875H, RTX 2080 Super, RAM 16 Go, SSD 2 To, Windows 10, 2,90 kg";3399€95
39;ASUS A17 TUF766IU-H7162T;"Gamer, 17"", Ryzen 9 4900H, GTX 1660 Ti, RAM 16 Go, SSD 1 To, Windows 10, 2,60 kg";1899€95
40;ASUS ROG Zephyrus G14 GA401IU-153T;"Gamer, 14"", Ryzen 9-4900HS, GTX 1660 Ti Max-Q, RAM 16 Go, SSD 512 Go, Windows 10, 1,60 kg";1699€94
41;ASUS ROG Zephyrus G14 GA401IU-001T;"Gamer, 14"", Ryzen 7-4800HS, GTX 1660 Ti Max-Q, RAM 16 Go, SSD 512 Go, Windows 10, 1,60 kg";1849€94
42;ASUS ROG Zephyrus G14 GA401II-035T;"Gamer, 14"", Ryzen 5 4600HS, GTX 1650 Ti, RAM 16 Go, SSD 512 Go, Windows 10, 1,60 kg";1199€95
43;ASUS ROG STRIX SCAR G17 G733QSA-KH063T;"Gamer, 17"", Ryzen 9 5900HX, RTX 3080, RAM 64 Go, SSD 1 To, Windows 10, 2,70 kg";4499€95
44;ASUS F15 TUF506LI-HN251;"Gamer, 15,6"", Core i5-10300H, GTX 1650 Ti, RAM 8 Go, SSD 256 Go + HDD 1 To, Sans OS, 2,30 kg";959€95
45;ASUS ROG Zephyrus G14 GA401II-110T;"Gamer, 14"", Ryzen 7-4800HS, GTX 1660 Ti, RAM 16 Go, SSD 512 Go, Windows 10, 1,70 kg";1799€95
46;ACER Nitro 5 AN515-55-76WN;"Gamer, 15,6"", Core i7-10750H, RTX 2060, RAM 16 Go, SSD 512 Go, Windows 10, 2,30 kg";1499€95
47;ASUS ROG Zephyrus G14 GA401IV-161T;"Gamer, 14"", Ryzen 7-4800HS, RTX 2060 Max-Q, RAM 16 Go, SSD 1 To, Windows 10, 1,70 kg";1999€94
